Column 9,시즌,파트,챕터,제목,메인 플롯 (성공/성장),서브플롯 1 (내적: 관계/결함),서브플롯 2 (외적: 가문/각성),아이템 / 기술 / 마법
,시즌,파트,챕터,제목,메인 플롯 (성공/성장),서브플롯 1 (내적: 관계/결함),서브플롯 2 (외적: 가문/각성),아이템 / 기술 / 마법
AAA,A,A,A,벼랑 끝의 유산,AI로 인한 실직과 전처 채수연의 병원비 압박.,수연을 향한 죄책감과 절박함,"아버지 방의 출입금지 기억, 명상과 이질감","회오리 문양 책, BCI"
AAB,A,A,B,태양의 문턱,성남 태양학원 면접. 이지현 실장과의 운명적 만남.,이지현과의 미묘한 텐션 (실패의 공유),소피아의 '심층 진단' 시스템 가동,태양학원 강사증
AAC,A,A,C,영혼 계약,BCI로 소피아와 최초 연결. 기적적인 생존 계약.,소피아와의 첫 만남(불신과 경이),시우의 영혼에센스가 초순도 고농축임을 확인,[영혼 에센스] 발견
AAD,A,A,D,금단의 공생,존재 소멸 위기의 소피아와 영혼 계약 체결.,영혼 숙제' 맹약 (가치는 어디서 오는가?),성공에 대한 욕망을 에너지원으로 긍정함,[영혼 계약 (Desmos)]
AAE,A,A,E,냉담한 교실,무너진 학원가에서 시우의 첫 국어 강의 시작.,학생들의 무관심을 깨는 시우의 진심,학생들의 '영혼 결함'이 검게 노출됨,영혼 공명 (지휘 시작)
ABA,A,B,A,영혼의 엑스레이,소피아의 분석으로 학생 트라우마를 데이터로 치환.,이지현의 불신이 경외감으로 변화,저주에 오염되지 않은 순수한 영혼 탐색,시우의 공감과 신념
ABB,A,B,B,각자의 역할,시우가 자신만의 판단으로 학생들의 어려움을 해결함,시우가 자기 신념에 대한 자신감 갖게 됨,소피아에 의존하는 관계에서 보완하는 관계로 변화,기억의 방 (데이터 분석)
ABC,A,B,C,지휘자의 탄생,"공명으로 뇌파 동기화, 초월적 집중력 유도.",시우를 향한 학생들의 맹목적 신뢰 발생,시우의 항체 에센스가 주변을 정화함,[모래들의 합창] 기초
ABD,A,B,D,적중의 미학,소피아의 알고리즘으로 기출문제 완벽 적중.,이지현과의 퇴근길 소통 (감정 빌드업),과거 아버지가 썼던 '적중 부적'과의 유사성,시크릿 예상 문제지
ABE,A,B,E,성지의 부활,태양학원 부흥. 성남/분당/판교 지역 사회 '명문'으로 등극.,이지현의 MIT 중퇴 상처를 공명으로 어루만짐,저항하는 영혼들에게 깃든 항체의 힘 확인,기억의 방 (미래 예측)
ACA,A,C,A,최고난도 타겟,실패 공포에 갇힌 최상위권 의대반 학생 유입.,완벽주의자들의 불안에 공감하는 시우,엘리트들의 영혼에 박힌 '성공 강박' 목격,영혼 공명 (주파수 조율)
ACB,A,C,B,무의식의 조율,시우의 공명이 전자기기를 매개로 확장됨을 발견.,지현과의 사적인 저녁 식사 (썸 발동),디지털 공간에서의 에센스 전송 가능성,에센스 네트워크 확장
ACC,A,C,C,88점의 역설,만점 강박을 치유하여 오히려 실력을 폭발시킴.,시우의 '관계 회피' 결함이 지현을 긴장시킴,불안'이 루시우스 세력의 주된 먹이임을 파악,영혼 공명 (강박 정화)
ACD,A,C,D,조은별의 추적,경쟁 세력의 사이버 공격 역추적. 해커 조은별 포섭.,조은별의 고립감을 치유하는 시우,공격 코드 이면의 [학원연합회(북극성회 회원)] 흔적 감지,BCI 피어싱 / 역추적
ACE,A,C,E,기적의 증명,불가능해 보이던 합격률 기록. 조율 본질 체득.,지현과의 첫 키스 직전의 갈등 (결함 발동),항체 에센스가 대중의 불안을 잠재우는 실험,영혼 마법 (조율의 완성)
ADA,A,D,A,거대 자본의 필요,에덴' 시설 구축을 위한 천문학적 자본 확보 결심.,수연의 상태 악화 (시우의 조급함),미국 대형병원에 수연의 상태 질문,OU 주목받음
ADB,A,D,B,차트 뒤의 망령,숫자 데이터 뒤의 인간 탐욕 주파수를 포착.,성공할수록 지현과 거리를 두는 시우의 고뇌,금융 시장이 거대한 영혼 에너지 수확장임을 인지,블룸버그 / 탐욕 감지
ADC,A,D,C,공포의 숏포지션,패닉 셀링 임계점 예측으로 막대한 수익 달성.,강여름 PD의 집요한 추적 시작,북극성회(Polaris)의 자금줄에 타격 입힘,[투자초보] 닉네임
ADD,A,D,D,전략적 자산화,수익금으로 판교 핵심 거점과 미래 인프라 매입.,지현이 시우의 변화(냉혹함)에 불안을 느낌,가문의 항체를 과학적으로 배양할 토대 마련,판교 퀀텀 사옥 부지
ADE,A,D,E,퀀텀의 씨앗,퀀텀 그룹 공식 출범 및 태양학원 식구들 합류.,지현을 퀀텀 테크 리더로 영입하려 설득,루시우스 모르가나의 직접적인 주시 시작,[항체 에센스] 배양기
AEA,A,E,A,관계의 그림자,성공의 정점에서 마주한 지현과의 감정과 결함의 충돌.,지현의 고백과 시우의 '관계 회피' 발동,수연의 환영이 지현의 위험을 경고함,에센스 각인 목걸이
AEB,A,E,B,비릿한 작별,결국 지현을 밀어내고 이별 선택. 영혼의 차가운 각성.,이지현과의 파국. 지현의 퇴사 및 결혼 통보.,고독 속에서 항체 에센스 농도가 최고치 도달,영혼 공명 (냉각/차단)
AEC,A,E,C,기술서의 암호,회오리 문양 책'이 루시우스 대항 기술서임을 해독.,소피아와의 파트너십 강화 (유일한 이해자),아버지 김현태의 처절한 수련 로그 발견,김현태의 안경(유물)
AED,A,E,D,오염된 공명,자신의 슬픔이 주변 사람들을 우울하게 만듦을 자각.,수연의 병이 자신의 '오염된 공명' 때문일지 모른다는 공포,가문의 저주가 자신에게도 있음을 직감,오염된 공명 (초기)
AEE,A,E,E,시작의 예감,모든 비극을 끊기 위해 전 세계적인 전쟁을 준비.,"지현의 결혼식 날, 시우의 차가운 선전포고",시즌 2 '북극성회'와의 암투 예고,[아르카나] 씨앗
BAA,B,A,A,함정의 깊이,북극성회의 공작으로 긴급 체포 및 구치소 압송.,동료들을 지키지 못했다는 자책과 고뇌.,검찰 내 '북극성회' 장기말들의 움직임 포착.,-
BAB,B,A,B,0번 독방,"외부와 단절된 독방. 시우, 소피아의 지휘 아래 명상 돌입.",고독을 힘으로 바꾸는 정신적 단련.,에센스가 물질 격자에 갇히는 기현상 발견.,항체 에센스 (고농축)
BAC,B,A,C,아르카나 연성,[개화] 에센스를 고체화한 '아르카나' 최초 생성.,시우의 영혼이 냉혹하고 단단하게 변모함.,루시우스의 '불안의 표식'이 아르카나에 정화됨.,[아르카나 (Arcana)]
BAD,B,A,D,무너진 각본,아르카나의 에너지를 이용해 구치소 보안망 무력화 및 석방.,시우의 귀환에 눈물 흘리는 지현 (이혼 후 재회).,북극성회의 비자금 장부 데이터 확보.,기억의 방 (복구)
BAE,B,A,E,개화의 선언,기자회견을 통해 결백 증명 및 퀀텀 그룹 출범 선언.,단순히 '돈'을 넘어서는 리더의 위엄 각성.,북극성회 수장 윤태복의 경계심 극대화.,퀀텀 그룹 법인
BBA,B,B,A,무선 에너지,아르카나를 매개로 한 전력 전송 기술 '루미링크' 개발.,지현을 퀀텀 테크 대표로 공식 임명 (파트너십).,기존 에너지 카르텔의 위기감과 물밑 회유.,[루미링크 (LumiLink)]
BBB,B,B,B,전략적 양보,출력을 소형 기기로 제한하여 공개하는 치밀한 전략.,지현과의 공적인 신뢰와 사적인 그리움의 충돌.,GAS 한국지부의 정체(북극성회 이면) 파악.,-
BBC,B,B,C,루미하드웨어,시우의 공명이 각인된 차세대 스마트 기기 출시.,한소영 박사의 합류. 지현과의 미묘한 라이벌리.,기기에 각인된 공명이 사용자들을 정화함.,루미폰 (LumiPhone)
BBD,B,B,D,퀀텀 파운드리,아르카나를 양산하는 세계 유일의 마도공학 공장 완공.,성공할수록 시우를 두려워하기 시작하는 적들.,금융 시장의 수확로(Money Path) 전면 차단.,-
BBE,B,B,E,기술의 정점,"삼성, 애플 등 글로벌 기업들이 라이선스 협상을 위해 방한.",세 여제'가 시우의 비전 아래 각자의 영역 확정.,루시우스 모르가나의 직접적인 주시 시작.,라이선스 계약서
BCA,B,C,A,진실의 입,인터넷 언론사 '뉴스비트' 인수 및 강여름 대표 취임.,강여름의 야망을 퀀텀의 무기로 승화시킴.,북극성회의 여론 조작 시스템 역추적 및 파괴.,[소피라이터 (AI)]
BCB,B,C,B,설계된 역주행,몰락한 아이돌 '이클립스' 인수 및 시우의 프로듀싱.,음악에 섞인 시우의 공명이 대중의 결함을 치유.,엔터 산업을 통해 영혼 에너지를 정화하는 실험.,이클립스 (음원)
BCC,B,C,C,판교 벨트,판교를 장악한 퀀텀의 거대 생태계 (언론-문화-기술).,시우의 '관계 회피'가 조직의 규율(비정함)로 작용.,수연의 무의식이 보낸 '불안의 신호' 감지.,-
BCD,B,C,D,보이지 않는 폭탄,퀀텀 본사를 향한 정체불명의 물리적/마법적 테러 시도.,지현이 시우를 대신해 위협을 막아내며 다침.,적들이 '뒤틀린 에너지'를 무기화했음을 확인.,스텔라 코팅 (초기)
BCE,B,C,E,사이다 폭로,뉴스비트를 통해 북극성회와 권력층의 유착 전면 폭로.,적들을 사회적으로 말살하며 느끼는 차가운 쾌감.,북극성회 윤태복의 최후의 발악 준비.,-
BDA,B,D,A,밤의 방문자,퀀텀 내부 데이터 탈취를 시도하는 린샤오밍의 침투.,소피아가 린샤오밍의 정체(중국 스파이) 즉시 간파.,중국 MSS가 퀀텀의 기술에 개입했음을 인지.,-
BDB,B,D,B,나이팅게일,"시우, 공명을 통해 린샤오밍의 슬픈 과거와 공명함.",린샤오밍의 동생이 인질로 잡혀 있음을 파악.,스파이를 죽이는 대신 '우리'로 만드는 도박.,영혼 공명
BDC,B,D,C,이중 첩보,린샤오밍을 통해 중국에 가짜 데이터를 흘리는 교란전.,시우를 향한 린샤오밍의 의심이 '경외'로 변화.,OU 본부가 각국 정보기관에 침투했음을 확증.,-
BDD,B,D,D,그림자 칼날,시우의 도움으로 린샤오밍이 동생을 구출하고 귀환.,린샤오밍이 시우의 첫 번째 '외부 권속'이 됨.,퀀텀의 정보력이 국가 수준을 뛰어넘었음을 증명.,[BCI 귀걸이]
BDE,B,D,E,MSS의 침묵,중국 정보국을 역으로 압박해 퀀텀의 우군으로 만듦.,시우의 주변에 믿을 수 있는 동료들이 결집됨.,본격적인 글로벌 전쟁(시즌 3)을 위한 발판 마련.,-
BEA,B,E,A,질서의 창설,비밀 작전 조직 [오르도 아에퀼리브리(OA)] 발족.,동료들에게 에센스 시드를 공유하며 유대감 강화.,어둠 속에서 균형을 잡는다는 철학 확립.,[OA 엠블럼]
BEB,B,E,B,신체 제어,소피아가 요원들의 BCI를 제어해 초인적 액션을 구현.,시우가 마스터로서 유닛들을 지휘하는 경험.,적의 암살조를 유령처럼 제압하는 OA의 첫 임무.,컨덕션 프로토콜
BEC,B,E,C,스텔라 수트,아르카나 입자를 입힌 방탄 및 은신 기능을 가진 수트.,리더로서 동료들의 생명을 책임지는 무게 체득.,북극성회의 핵심 기지(안가) 습격 및 증거 확보.,[스텔라 수트]
BED,B,E,D,심판의 날,윤태복과 북극성회 핵심 멤버들을 법적/물리적으로 궤멸.,"시우, 드디어 국내의 적들을 정리하고 승리 만끽.","윤태복이 남긴 유언: ""본부는 이제 시작이다.""",-
BEE,B,E,E,그림자 군주,대한민국 기술과 자본의 정점에 선 시우의 차가운 각성.,"지현과 재회하지만, 미지의 적을 위해 거리를 유지.",루시우스의 그림자가 시우의 거울에 비치며 엔딩.,-
CAA,C,A,A,징후,소피아가 대한민국 전역의 통신망에서 이상 징후 포착.,불안한 예감이 '영혼 공명'을 통해 동료들에게 전이.,북극성회 잔당과 군부 내 사조직의 결탁 확인.,-
CAB,C,A,B,시민의 방패,뉴스비트를 통해 쿠데타 음모를 시민들에게 경고.,강여름의 미디어 전략이 여론을 움직임.,쿠데타 세력이 '퀀텀 그룹'을 주적으로 규정.,디지털 망루
CAC,C,A,C,가장 긴 밤,국회와 퀀텀 본사를 향한 계엄군의 진입 시도.,OA 요원들이 그림자 속에서 군 수뇌부를 무력화.,시민들이 인간 방패가 되어 민주주의를 수호.,-
CAD,C,A,D,부러진 칼날,쿠데타 실패. 배후에 있던 박건우 요원이 제거됨(꼬리자르기).,시우가 적들의 비정함에 치를 떨며 분노.,OU 본부가 한국 지부의 실패를 만회하려 직접 개입.,-
CAE,C,A,E,선전포고,"시우, ""더 이상의 관용은 없다""며 OU에 경고.",지현이 시우의 폭주(독선)를 우려하며 대립.,루시우스의 심복들이 한국으로 입국.,-
CBA,C,B,A,유령들의 만찬,유럽 FIFA 회의장에 잠입한 OA가 '불안의 표식' 목격.,적들이 초자연적인 힘(마법)을 사용함을 확인.,현실 조작에 가까운 적의 능력에 공포를 느낌.,[불안의 표식 (영상)]
CBB,C,B,B,무대 위의 공포,이클립스 콘서트장에 설치된 대규모 폭발물 감지.,패닉을 막기 위해 시우가 무대 뒤에서 지휘.,수만 관객의 생명이 걸린 절체절명의 순간.,-
CBC,C,B,C,침묵의 교향곡,OA와 시우의 연계로 폭발물을 제거하고 테러범 제압.,지현이 부상당한 시우를 간호하며 마음을 염.,적들이 대중의 '공포심'을 수확하려 했음을 인지.,-
CBD,C,B,D,납치된 동료들,유럽 워크숍을 떠난 퀀텀 신입사원들이 납치됨.,시우의 약점(동료애)을 노린 비열한 인질극.,OA 정예팀(알렉산더 등)이 구출 작전에 투입.,-
CBE,C,B,E,흔적 없는 구출,압도적인 기술과 전술로 인질 전원 구출 및 적 섬멸.,시우가 '냉철한 리더'로서의 자질을 증명.,구출된 직원들이 시우를 신처럼 맹신하기 시작.,-
CCA,C,C,A,이카루스의 비상,퀀텀의 기술이 집약된 우주 발사체 '이카루스' 발사.,전 국민의 염원이 담긴 희망의 상징.,OU가 궤도 위성을 이용해 발사체 격추/해킹 시도.,-
